,pref,pref_id,loss_from_2019,final_date_month,state_of_emergency,second,cases_per_population,deaths_per_population,average_temperature,unemployment_rate_percent,over_age65_population,population_2019,area_ha,population_per_density_per_ha,cases_lag,deaths_lag
123,奈良県,29,0.35913,2020/4/30,1,0,5.18796992481203,0.075187969924812,12.5,2.6,417000,1330000,369094,4,0.75187969924812,0
124,和歌山県,30,0.46979,2020/4/30,1,0,4.75675675675676,0.108108108108108,13.7,2.3,306000,925000,472465,2,0.540540540540541,0
125,鳥取県,31,0.40283,2020/4/30,1,0,0.539568345323741,0,11.6,2.6,178000,556000,350714,2,0,0
126,島根県,32,0.38504,2020/4/30,1,0,3.41246290801187,0,11.6,0.8,231000,674000,670807,1,0,0
127,岡山県,33,0.44663,2020/4/30,1,0,1.00529100529101,0,12.7,2.1,573000,1890000,711433,3,0.211640211640212,0
128,広島県,34,0.42216,2020/4/30,1,0,5.31383737517832,0.0713266761768902,13.2,2.4,823000,2804000,847964,3,0.21398002853067,0
129,山口県,35,0.43505,2020/4/30,1,0,1.91458026509573,0,12.4,2,466000,1358000,611253,2,0.441826215022091,0
130,徳島県,36,0.38677,2020/4/30,1,0,0.274725274725275,0.137362637362637,13.8,2.2,245000,728000,414675,2,0.274725274725275,0
131,香川県,37,0.41541,2020/4/30,1,0,2.71966527196653,0,8,2.4,305000,956000,187679,5,0.209205020920502,0
132,愛媛県,38,0.39306,2020/4/30,1,0,2.83793876026886,0.224047796863331,13.5,1.9,442000,1339000,567616,2,0.672143390589993,0
133,高知県,39,0.3608,2020/4/30,1,0,8.16618911174785,0.429799426934097,14.4,2.7,246000,698000,710364,1,2.29226361031519,0
134,福岡県,40,0.28751,2020/4/30,1,1,11.6575235109718,0.391849529780564,14.1,3,1425000,5104000,498651,10,0.862068965517241,0
135,佐賀県,41,0.44735,2020/4/30,1,0,4.78527607361963,0,13.9,1.8,246000,815000,244070,3,0.245398773006135,0
136,長崎県,42,0.45361,2020/4/30,1,0,1.13036925395629,0.0753579502637528,14,2.6,433000,1327000,413100,3,0.150715900527506,0
137,熊本県,43,0.3901,2020/4/30,1,0,1.88787185354691,0.05720823798627,14.1,3.3,543000,1748000,740945,2,0.51487414187643,0
138,大分県,44,0.3571,2020/4/30,1,0,2.73127753303965,0.0881057268722467,14,2.3,373000,1135000,634076,2,2.55506607929515,0
139,宮崎県,45,0.50456,2020/4/30,1,0,1.30475302889096,0,15.3,2.1,346000,1073000,773533,1,0.279589934762349,0
140,鹿児島県,46,0.4733,2020/4/30,1,0,0.561797752808989,0,15.7,2.9,512000,1602000,918708,2,0.0624219725343321,0
141,沖縄県,47,0.35621,2020/4/30,1,0,9.15347556779078,0.344115622849277,19.8,3.5,322000,1453000,228100,6,0.412938747419133,0
142,北海道,1,0.5019,2020/5/31,1,0,6.17142857142857,1.08571428571429,13.7,3.3,1673000,5250000,7842133,1,11.2380952380952,0.419047619047619
143,青森県,2,0.4821,2020/5/31,1,0,0.0802568218298555,0.0802568218298555,14.4,2.8,415000,1246000,964564,1,1.4446227929374,0
144,岩手県,3,0.4809,2020/5/31,1,0,0,0,15.4,2.6,406000,1227000,1527501,1,0,0
145,宮城県,4,0.3225,2020/5/31,1,0,0,0.0433651344319167,16.8,2.6,652000,2306000,728229,3,3.51257588898526,0
146,秋田県,5,0.3844,2020/5/31,1,0,0,0,15.5,3,359000,966000,1163752,1,1.0351966873706,0
147,山形県,6,0.3018,2020/5/31,1,0,0.0927643784786642,0,17.2,2.4,360000,1078000,932315,1,6.2152133580705,0
148,福島県,7,0.4613,2020/5/31,1,0,0.433369447453955,0,18,2.5,582000,1846000,1378390,1,3.73781148429036,0
