,country_name,year,v2x_polyarchy,v2mecenefm,v2exl_legitideol,v2cvgovres_0,v2cvgovres_1,v2cvgovres_2,v2cvgovres_3,v2cvgovres_4,v2cvgovres_5,v2cvgovres_6,v2cvgovres_nr
20,Bolivia,2019,0.561,0.11,1.205,NA,NA,NA,NA,NA,NA,NA,NA
21,Haiti,2019,0.422,0.408,-1.42,NA,NA,NA,NA,NA,NA,NA,NA
22,Honduras,2019,0.374,0.569,-0.723,NA,NA,NA,NA,NA,NA,NA,NA
23,Mali,2019,0.489,0.914,-0.715,NA,NA,NA,NA,NA,NA,NA,NA
24,Pakistan,2019,0.37,-0.177,-1.032,NA,NA,NA,NA,NA,NA,NA,NA
25,Peru,2019,0.782,2.199,-1.536,NA,NA,NA,NA,NA,NA,NA,NA
26,Senegal,2019,0.734,2.19,0.196,NA,NA,NA,NA,NA,NA,NA,NA
27,South Sudan,2019,0.178,-2.635,-0.995,NA,NA,NA,NA,NA,NA,NA,NA
28,Sudan,2019,0.216,-0.115,-0.3,NA,NA,NA,NA,NA,NA,NA,NA
29,Vietnam,2019,0.218,-1.327,1.344,NA,NA,NA,NA,NA,NA,NA,NA
30,Afghanistan,2019,0.346,0.321,-1.553,NA,NA,NA,NA,NA,NA,NA,NA
31,Argentina,2019,0.777,1.258,-1.968,NA,NA,NA,NA,NA,NA,NA,NA
32,Ethiopia,2019,0.344,1.709,0.438,NA,NA,NA,NA,NA,NA,NA,NA
33,India,2019,0.476,-0.113,1.412,NA,NA,NA,NA,NA,NA,NA,NA
34,Kenya,2019,0.459,1.417,-0.806,NA,NA,NA,NA,NA,NA,NA,NA
35,North Korea,2019,0.09,-2.672,2.833,NA,NA,NA,NA,NA,NA,NA,NA
36,South Korea,2019,0.854,2.738,-1.603,NA,NA,NA,NA,NA,NA,NA,NA
37,Kosovo,2019,0.609,2.731,-0.823,NA,NA,NA,NA,NA,NA,NA,NA
38,Lebanon,2019,0.445,0.531,0.181,NA,NA,NA,NA,NA,NA,NA,NA
